id,name,category,alt_categories,phone,phone_fmt,area_code,phones_all,email,email_owned,website,websites_all,socials,social_platforms,best_contact,address,city,state,zip,country,lat,lon,tier,tier_reason,builder,industry_fit,outreach_score,score,completeness,confidence,is_chain,pitch,source_dataset,source_id
7db189cb-6e52-42f2-b321-4b927179ab83,Sarah McLean & Co Tax & Accounting Services,accountant,trusts|professional_services,+17078417235,(707) 841-7235,707,+17078417235,,0,,,https://www.facebook.com/409048025922858,facebook,phone,2620 Coyote Rd,Willits,CA,95490-9034,US,39.46156311035156,-123.39754486083984,A,No website,,high,100,84,83,0.9199122190475464,0,"Hi, I came across Sarah McLean & Co Tax & Accounting Services in Willits and noticed you don't have a website yet — for a accountant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Willits businesses and can send a free mockup.",meta,409048025922858
88698ac2-5fa9-484d-a479-fc7115bf103c,Healing House,acupuncture,health_and_medical|naturopathic_holistic,+14152640685,(415) 264-0685,415,+14152640685,,0,,,https://www.facebook.com/1410228982579486,facebook,phone,601 N Main St,Lakeport,CA,95453-4301,US,39.046043395996094,-122.91542053222656,A,No website,,high,100,84,83,0.8642778396606445,0,"Hi, I came across Healing House in Lakeport and noticed you don't have a website yet — for a acupuncture, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",meta,1410228982579486
a3a399ef-7ccf-42fa-8c83-047f47e4b3ce,Lumberjacks Restaurant,american_restaurant,restaurant|diner,+17074560300,(707) 456-0300,707,+17074560300,,0,http://www.yellowpages.com/willits-ca/mip/lumberjacks-restaurant-461532313,http://www.yellowpages.com/willits-ca/mip/lumberjacks-restaurant-461532313,https://www.facebook.com/155958737793556,facebook,phone,1740 S Main St,Willits,CA,95490-4405,US,39.39007568359375,-123.34690856933594,A,Social/listing only - no owned site,,high,100,85,83,0.979434072971344,0,"Hi, I came across Lumberjacks Restaurant in Willits and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Willits businesses and can send a free mockup.",meta,155958737793556
00eb5471-2f58-4076-b199-f6694fecb620,The Buckhorn Boonville,american_restaurant,,(707) 895-3224,(707) 895-3224,707,(707) 895-3224,,0,,,https://www.facebook.com/161685747301657,facebook,phone,18200 Mountain View Rd.,Boonville,CA,95415,US,39.00929260253906,-123.3670883178711,A,No website,,high,100,83,83,0.77,0,"Hi, I came across The Buckhorn Boonville in Boonville and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Boonville businesses and can send a free mockup.",Foursquare,4d817b8759d16dcbe86bfa1b
c0b1994d-48be-4fdf-988d-de6fd0158c2d,Elegant Bowl,antique_store,,(707) 275-9293,(707) 275-9293,707,(707) 275-9293,,0,,,https://www.facebook.com/166824790000345,facebook,phone,9510 Main St,Upper Lake,CA,95485,US,39.164737701416016,-122.9104995727539,A,No website,,high,100,84,83,0.9199122190475464,0,"Hi, I came across Elegant Bowl in Upper Lake and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Upper Lake businesses and can send a free mockup.",Foursquare,532ea43c79d24ca400c42703
25c14843-bf5a-418f-9624-698b3c637d0b,Flying Antiques,antique_store,shopping,+17079008537,(707) 900-8537,707,+17079008537,flyingantiques@gmail.com,0,,,https://www.facebook.com/179289165928268,facebook,phone,3597 E State Hwy 20,Nice,CA,95464-8573,US,39.12255859375,-122.84361267089844,A,No website,,high,100,95,100,0.5256035923957825,0,"Hi, I came across Flying Antiques in Nice and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Nice businesses and can send a free mockup.",meta,179289165928268
c31fa347-68c3-49c9-abc4-e066201994c7,Last chance,antique_store,gift_shop|thrift_store,+17076712365,(707) 671-2365,707,+17076712365,,0,,,https://www.facebook.com/104001102546822,facebook,phone,1285 W Highway 20,Upper Lake,CA,95485,US,39.167518615722656,-122.93055725097656,A,No website,,high,100,84,83,0.9199122190475464,0,"Hi, I came across Last chance in Upper Lake and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Upper Lake businesses and can send a free mockup.",meta,104001102546822
aec6eb98-43f7-4d47-ad74-85ed65b00bea,Redwood Valley Antiques,antique_store,,(707) 485-1185,(707) 485-1185,707,(707) 485-1185,,0,,,https://www.facebook.com/117359168282968,facebook,phone,9621 N State St Ste B,Redwood Valley,CA,95470,US,39.27104187011719,-123.24006652832031,A,No website,,high,100,84,83,0.9199122190475464,0,"Hi, I came across Redwood Valley Antiques in Redwood Valley and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Redwood Valley businesses and can send a free mockup.",Foursquare,4fb94efee4b04b94bef94546
c8ef594b-79e9-4820-a84a-e710daf5d1fa,Rosalina Books And Antiques,antique_store,bookstore|shopping,+17073573104,(707) 357-3104,707,+17073573104,egallery@mcn.org,0,,,https://www.facebook.com/717517884947568,facebook,phone,217 S Main St,Willits,CA,95490-3505,US,39.410316467285156,-123.35418701171875,A,No website,,high,100,96,100,0.6290058493614197,0,"Hi, I came across Rosalina Books And Antiques in Willits and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Willits businesses and can send a free mockup.",meta,717517884947568
c68e53c2-ab60-49e1-b0d1-7db5d83321cc,The Hidden Gem,antique_store,,+17072633400,(707) 263-3400,707,+17072633400,,0,,,https://www.facebook.com/306254566902780,facebook,phone,480 S Main St,Lakeport,CA,95453-5325,US,39.038333892822266,-122.91508483886719,A,No website,,high,100,80,83,0.5371498465538025,0,"Hi, I came across The Hidden Gem in Lakeport and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",meta,306254566902780
